Lysipatha is a genus of moth in the family Gelechiidae . || SUBJECT: Lysipatha || PREDICATE: parent taxon || OBJECT: Gelechiidae 
Malombra is a 1942 Italian drama film directed by Mario Soldati and starring Isa Miranda , Andrea Checchi and Irasema Dilián . It is based on the novel Malombra by Antonio Fogazzaro , which had previously been adapted into a 1917 silent film of the same title . It was made at Cinecittà with sets designed by Gino Brosio . It was produced by Riccardo Gualino 's Lux Film .   The film is a gothic melodrama , set in the castle on the edge of Lake Como in the village of Lierna during the Nineteenth century . || SUBJECT: Malombra || PREDICATE: cast member || OBJECT: Andrea Checchi 
Malombra is a 1942 Italian drama film directed by Mario Soldati and starring Isa Miranda , Andrea Checchi and Irasema Dilián . It is based on the novel Malombra by Antonio Fogazzaro , which had previously been adapted into a 1917 silent film of the same title . It was made at Cinecittà with sets designed by Gino Brosio . It was produced by Riccardo Gualino 's Lux Film .   The film is a gothic melodrama , set in the castle on the edge of Lake Como in the village of Lierna during the Nineteenth century . || SUBJECT: Malombra || PREDICATE: cast member || OBJECT: Irasema Dilián 
Lucky de Chickera is a Sri Lankan novelist and corporate executive . His novel Sarasu ... amidst slums of terror was shortlisted for the Gratiaen Prize in 2011 . and was nominated for the best novel in english at the state literary awards 2011 . || SUBJECT: Lucky de Chickera || PREDICATE: country of citizenship || OBJECT: Sri Lanka 
Louis the Child is a Chicago-based music duo consisting of Robby Hauldren and Freddy Kennett . They are best known for their singles , `` It 's Strange '' , `` Weekend '' , and `` Fire '' . || SUBJECT: Louis the Child || PREDICATE: location of formation || OBJECT: Chicago 
Magnesium oil ( also referred to as transdermal magnesium ) is a mixture of Magnesium chloride in water . In reality it is not an oil . It is applied to the skin . The magnesium is absorbed through the skin and is claimed to have health benefits , such as for the treatment of magnesium deficiency , to relieve muscle pains and aches ( especially headaches ) , and enhance to relaxation . || SUBJECT: Magnesium oil || PREDICATE: has part || OBJECT: Magnesium chloride 
M-87 is the designation of a former state trunkline highway in the Lower Peninsula of the US state of Michigan , which prior to 1960 ran east -- west between the towns of Fenton and Holly . The highway served as a connector between US Highway 23 ( US 23 ) and the former routing of US 10 , which ran along what is now the Interstate 75 ( I-75 ) corridor . The highway connected the downtown areas of each community as well as running through then-rural areas of Genesee and Oakland counties . The trunkline was decommissioned in late 1960 , removing it from the system . || SUBJECT: M-87 || PREDICATE: located in the administrative territorial entity || OBJECT: Michigan 
M-87 is the designation of a former state trunkline highway in the Lower Peninsula of the US state of Michigan , which prior to 1960 ran east -- west between the towns of Fenton and Holly . The highway served as a connector between US Highway 23 ( US 23 ) and the former routing of US 10 , which ran along what is now the Interstate 75 ( I-75 ) corridor . The highway connected the downtown areas of each community as well as running through then-rural areas of Genesee and Oakland counties . The trunkline was decommissioned in late 1960 , removing it from the system . || SUBJECT: Lower Peninsula || PREDICATE: located in the administrative territorial entity || OBJECT: Michigan 
M-87 is the designation of a former state trunkline highway in the Lower Peninsula of the US state of Michigan , which prior to 1960 ran east -- west between the towns of Fenton and Holly . The highway served as a connector between US Highway 23 ( US 23 ) and the former routing of US 10 , which ran along what is now the Interstate 75 ( I-75 ) corridor . The highway connected the downtown areas of each community as well as running through then-rural areas of Genesee and Oakland counties . The trunkline was decommissioned in late 1960 , removing it from the system . || SUBJECT: Michigan || PREDICATE: has part || OBJECT: Lower Peninsula 
M-87 is the designation of a former state trunkline highway in the Lower Peninsula of the US state of Michigan , which prior to 1960 ran east -- west between the towns of Fenton and Holly . The highway served as a connector between US Highway 23 ( US 23 ) and the former routing of US 10 , which ran along what is now the Interstate 75 ( I-75 ) corridor . The highway connected the downtown areas of each community as well as running through then-rural areas of Genesee and Oakland counties . The trunkline was decommissioned in late 1960 , removing it from the system . || SUBJECT: Genesee || PREDICATE: shares border with || OBJECT: Oakland 
M-87 is the designation of a former state trunkline highway in the Lower Peninsula of the US state of Michigan , which prior to 1960 ran east -- west between the towns of Fenton and Holly . The highway served as a connector between US Highway 23 ( US 23 ) and the former routing of US 10 , which ran along what is now the Interstate 75 ( I-75 ) corridor . The highway connected the downtown areas of each community as well as running through then-rural areas of Genesee and Oakland counties . The trunkline was decommissioned in late 1960 , removing it from the system . || SUBJECT: Oakland || PREDICATE: shares border with || OBJECT: Genesee 
The Made In New York Jazz Competition is an online-based , technology-driven , global jazz competition held entirely online with the annual Jazz Gala on the third week of May at the Tribeca Performing Arts Center . The Jazz Competition debuted in 2013 and was founded by jazz aficionado , entrepreneur , and music producer , Mikhael Brovkin . || SUBJECT: Made In New York Jazz Competition || PREDICATE: inception || OBJECT: 2013 
Makshoof Music is a Middle East-based online platform dedicated to undiscovered musical talent . The platform launched in July 2010 as a part of the Middle East-based website triplew.me || SUBJECT: Makshoof Music || PREDICATE: inception || OBJECT: July 2010 
Madame Récamier is a 1928 French silent historical film directed by Tony Lekain and Gaston Ravel and starring Marie Bell , Françoise Rosay and Edmond Van Daële . The film portrays the life of Juliette Recamier , a French society figure of the Napoleonic Era . She was also the subject of a 1920 German film of the same name . || SUBJECT: Madame Récamier || PREDICATE: publication date || OBJECT: 1928 
Madame Récamier is a 1928 French silent historical film directed by Tony Lekain and Gaston Ravel and starring Marie Bell , Françoise Rosay and Edmond Van Daële . The film portrays the life of Juliette Recamier , a French society figure of the Napoleonic Era . She was also the subject of a 1920 German film of the same name . || SUBJECT: Madame Récamier || PREDICATE: genre || OBJECT: silent 
Madame Récamier is a 1928 French silent historical film directed by Tony Lekain and Gaston Ravel and starring Marie Bell , Françoise Rosay and Edmond Van Daële . The film portrays the life of Juliette Recamier , a French society figure of the Napoleonic Era . She was also the subject of a 1920 German film of the same name . || SUBJECT: Madame Récamier || PREDICATE: director || OBJECT: Tony Lekain 
Madame Récamier is a 1928 French silent historical film directed by Tony Lekain and Gaston Ravel and starring Marie Bell , Françoise Rosay and Edmond Van Daële . The film portrays the life of Juliette Recamier , a French society figure of the Napoleonic Era . She was also the subject of a 1920 German film of the same name . || SUBJECT: Madame Récamier || PREDICATE: director || OBJECT: Gaston Ravel 
Madame Récamier is a 1928 French silent historical film directed by Tony Lekain and Gaston Ravel and starring Marie Bell , Françoise Rosay and Edmond Van Daële . The film portrays the life of Juliette Recamier , a French society figure of the Napoleonic Era . She was also the subject of a 1920 German film of the same name . || SUBJECT: Madame Récamier || PREDICATE: cast member || OBJECT: Marie Bell 
Madame Récamier is a 1928 French silent historical film directed by Tony Lekain and Gaston Ravel and starring Marie Bell , Françoise Rosay and Edmond Van Daële . The film portrays the life of Juliette Recamier , a French society figure of the Napoleonic Era . She was also the subject of a 1920 German film of the same name . || SUBJECT: Madame Récamier || PREDICATE: cast member || OBJECT: Françoise Rosay 
Madame Récamier is a 1928 French silent historical film directed by Tony Lekain and Gaston Ravel and starring Marie Bell , Françoise Rosay and Edmond Van Daële . The film portrays the life of Juliette Recamier , a French society figure of the Napoleonic Era . She was also the subject of a 1920 German film of the same name . || SUBJECT: Madame Récamier || PREDICATE: cast member || OBJECT: Edmond Van Daële 
M56 or M-56 may refer to :   Messier 56 , a globular cluster in the constellation Lyra  M56 motorway , a motorway in England  M56 Lena highway ( Russia )  M56 Kolyma Highway , Russia  M56 Howitzer , a Yugoslav copy of the M101A1 howitzer  M56 Scorpion , an unarmoured American self-propelled anti-tank gun  The core of the ATI Radeon Mobility X1600  M-56 ( 1919 -- 1957 Michigan highway ) , a former state highway in Michigan in the Monroe area  M-56 ( 1971 -- 1987 Michigan highway ) , another former state highway in Michigan in the Flint area  M56 steel helmet , designed in East Germany in 1956  M56 Smart Gun , a fictional weapon used in the 1986 film Aliens and related media  Infiniti M56 , a Japanese luxury car || SUBJECT: Messier 56 || PREDICATE: instance of || OBJECT: globular cluster 
M56 or M-56 may refer to :   Messier 56 , a globular cluster in the constellation Lyra  M56 motorway , a motorway in England  M56 Lena highway ( Russia )  M56 Kolyma Highway , Russia  M56 Howitzer , a Yugoslav copy of the M101A1 howitzer  M56 Scorpion , an unarmoured American self-propelled anti-tank gun  The core of the ATI Radeon Mobility X1600  M-56 ( 1919 -- 1957 Michigan highway ) , a former state highway in Michigan in the Monroe area  M-56 ( 1971 -- 1987 Michigan highway ) , another former state highway in Michigan in the Flint area  M56 steel helmet , designed in East Germany in 1956  M56 Smart Gun , a fictional weapon used in the 1986 film Aliens and related media  Infiniti M56 , a Japanese luxury car || SUBJECT: Messier 56 || PREDICATE: constellation || OBJECT: Lyra 
